[ERSimulation] Nursing Schedule (15-minute intervals):
Format: Timestep | Time | Shift | Nurses on Duty
--------------------------------------------------
    >>> SHIFT CHANGE <<<
t=  1 | 00:00 | Day     | 7 nurses
t=  2 | 00:15 | Day     | 7 nurses
t=  3 | 00:30 | Day     | 7 nurses
t=  4 | 00:45 | Day     | 7 nurses
t=  5 | 01:00 | Day     | 7 nurses
t=  6 | 01:15 | Day     | 7 nurses
t=  7 | 01:30 | Day     | 7 nurses
t=  8 | 01:45 | Day     | 7 nurses
t=  9 | 02:00 | Day     | 7 nurses
t= 10 | 02:15 | Day     | 7 nurses
t= 11 | 02:30 | Day     | 7 nurses
t= 12 | 02:45 | Day     | 7 nurses
t= 13 | 03:00 | Day     | 7 nurses
t= 14 | 03:15 | Day     | 7 nurses
t= 15 | 03:30 | Day     | 7 nurses
t= 16 | 03:45 | Day     | 7 nurses
t= 17 | 04:00 | Day     | 7 nurses
t= 18 | 04:15 | Day     | 7 nurses
t= 19 | 04:30 | Day     | 7 nurses
t= 20 | 04:45 | Day     | 7 nurses
t= 21 | 05:00 | Day     | 7 nurses
t= 22 | 05:15 | Day     | 7 nurses
t= 23 | 05:30 | Day     | 7 nurses
t= 24 | 05:45 | Day     | 7 nurses
t= 25 | 06:00 | Day     | 7 nurses
t= 26 | 06:15 | Day     | 7 nurses
t= 27 | 06:30 | Day     | 7 nurses
t= 28 | 06:45 | Day     | 7 nurses
t= 29 | 07:00 | Day     | 7 nurses
t= 30 | 07:15 | Day     | 7 nurses
t= 31 | 07:30 | Day     | 7 nurses
t= 32 | 07:45 | Day     | 7 nurses
    >>> SHIFT CHANGE <<<
t= 33 | 08:00 | Evening | 5 nurses
t= 34 | 08:15 | Evening | 5 nurses
t= 35 | 08:30 | Evening | 5 nurses
t= 36 | 08:45 | Evening | 5 nurses
t= 37 | 09:00 | Evening | 5 nurses
t= 38 | 09:15 | Evening | 5 nurses
t= 39 | 09:30 | Evening | 5 nurses
t= 40 | 09:45 | Evening | 5 nurses
t= 41 | 10:00 | Evening | 5 nurses
t= 42 | 10:15 | Evening | 5 nurses
t= 43 | 10:30 | Evening | 5 nurses
t= 44 | 10:45 | Evening | 5 nurses
t= 45 | 11:00 | Evening | 5 nurses
t= 46 | 11:15 | Evening | 5 nurses
t= 47 | 11:30 | Evening | 5 nurses
t= 48 | 11:45 | Evening | 5 nurses
t= 49 | 12:00 | Evening | 5 nurses
t= 50 | 12:15 | Evening | 5 nurses
t= 51 | 12:30 | Evening | 5 nurses
t= 52 | 12:45 | Evening | 5 nurses
t= 53 | 13:00 | Evening | 5 nurses
t= 54 | 13:15 | Evening | 5 nurses
t= 55 | 13:30 | Evening | 5 nurses
t= 56 | 13:45 | Evening | 5 nurses
t= 57 | 14:00 | Evening | 5 nurses
t= 58 | 14:15 | Evening | 5 nurses
t= 59 | 14:30 | Evening | 5 nurses
t= 60 | 14:45 | Evening | 5 nurses
t= 61 | 15:00 | Evening | 5 nurses
t= 62 | 15:15 | Evening | 5 nurses
t= 63 | 15:30 | Evening | 5 nurses
t= 64 | 15:45 | Evening | 5 nurses
    >>> SHIFT CHANGE <<<
t= 65 | 16:00 | Night   | 3 nurses
t= 66 | 16:15 | Night   | 3 nurses
t= 67 | 16:30 | Night   | 3 nurses
t= 68 | 16:45 | Night   | 3 nurses
t= 69 | 17:00 | Night   | 3 nurses
t= 70 | 17:15 | Night   | 3 nurses
t= 71 | 17:30 | Night   | 3 nurses
t= 72 | 17:45 | Night   | 3 nurses
t= 73 | 18:00 | Night   | 3 nurses
t= 74 | 18:15 | Night   | 3 nurses
t= 75 | 18:30 | Night   | 3 nurses
t= 76 | 18:45 | Night   | 3 nurses
t= 77 | 19:00 | Night   | 3 nurses
t= 78 | 19:15 | Night   | 3 nurses
t= 79 | 19:30 | Night   | 3 nurses
t= 80 | 19:45 | Night   | 3 nurses
t= 81 | 20:00 | Night   | 3 nurses
t= 82 | 20:15 | Night   | 3 nurses
t= 83 | 20:30 | Night   | 3 nurses
t= 84 | 20:45 | Night   | 3 nurses
t= 85 | 21:00 | Night   | 3 nurses
t= 86 | 21:15 | Night   | 3 nurses
t= 87 | 21:30 | Night   | 3 nurses
t= 88 | 21:45 | Night   | 3 nurses
t= 89 | 22:00 | Night   | 3 nurses
t= 90 | 22:15 | Night   | 3 nurses
t= 91 | 22:30 | Night   | 3 nurses
t= 92 | 22:45 | Night   | 3 nurses
t= 93 | 23:00 | Night   | 3 nurses
t= 94 | 23:15 | Night   | 3 nurses
t= 95 | 23:30 | Night   | 3 nurses
t= 96 | 23:45 | Night   | 3 nurses
