average_wait,decisions_explained,esi_avg_wait,esi_fallbacks,esi_percentage,esi_treated,esi_waiting,esi_weighted_wait,filename,mts_avg_wait,mts_treated,mts_waiting,mts_weighted_wait,neural_decisions,neural_percentage,nurses,optimizer_type,original_filename,patients_treated,patients_waiting,pattern,seed,weighted_wait
27,14,52.32,3,21.4,16,22,288.07,hybrid_disaster_2nurses_analysis.txt,77.71,17,21,436.18,11,78.6,2,hybrid,disaster_2nurses_analysis.txt,14,24,disaster,9000,145
37,14,74.34,6,42.9,16,28,443.93,hybrid_disaster_2nurses_analysis.txt,109.04,17,27,666.93,8,57.1,2,hybrid,disaster_2nurses_analysis.txt,15,29,disaster,9001,222
26,13,51.9,2,15.4,17,28,304.51,hybrid_disaster_2nurses_analysis.txt,77.1,18,27,471.89,11,84.6,2,hybrid,disaster_2nurses_analysis.txt,16,29,disaster,9002,145
32,13,64.48,2,15.4,17,42,378.47,hybrid_disaster_2nurses_analysis.txt,94.89,20,39,573.53,11,84.6,2,hybrid,disaster_2nurses_analysis.txt,15,44,disaster,9003,187
24,12,48.38,0,0.0,15,32,279.58,hybrid_disaster_2nurses_analysis.txt,70.86,17,30,427.25,12,100.0,2,hybrid,disaster_2nurses_analysis.txt,15,32,disaster,9004,140
28,15,55.35,3,20.0,17,34,326.94,hybrid_disaster_2nurses_analysis.txt,81.04,20,31,499.13,12,80.0,2,hybrid,disaster_2nurses_analysis.txt,16,35,disaster,9005,163
28,14,56.47,1,7.1,15,31,361.73,hybrid_disaster_2nurses_analysis.txt,83.31,15,31,542.56,13,92.9,2,hybrid,disaster_2nurses_analysis.txt,15,31,disaster,9006,176
27,13,52.78,0,0.0,15,37,304.84,hybrid_disaster_2nurses_analysis.txt,77.09,18,34,459.98,13,100.0,2,hybrid,disaster_2nurses_analysis.txt,14,38,disaster,9007,153
26,12,52.92,1,8.3,16,31,317.8,hybrid_disaster_2nurses_analysis.txt,76.74,18,29,485.85,11,91.7,2,hybrid,disaster_2nurses_analysis.txt,15,32,disaster,9008,156
29,12,59.06,3,25.0,12,32,357.34,hybrid_disaster_2nurses_analysis.txt,86.7,15,29,537.65,9,75.0,2,hybrid,disaster_2nurses_analysis.txt,12,32,disaster,9009,174
35,13,71.85,3,23.1,12,37,453.05,hybrid_disaster_2nurses_analysis.txt,105.13,17,32,686.42,10,76.9,2,hybrid,disaster_2nurses_analysis.txt,15,34,disaster,9010,225
25,15,50.18,6,40.0,16,26,296.8,hybrid_disaster_2nurses_analysis.txt,72.96,17,25,448.75,9,60.0,2,hybrid,disaster_2nurses_analysis.txt,15,27,disaster,9011,148
26,12,52.46,2,16.7,13,32,349.55,hybrid_disaster_2nurses_analysis.txt,77.19,16,29,527.03,10,83.3,2,hybrid,disaster_2nurses_analysis.txt,14,31,disaster,9012,174
35,12,69.79,2,16.7,15,34,424.36,hybrid_disaster_2nurses_analysis.txt,101.85,20,29,641.76,10,83.3,2,hybrid,disaster_2nurses_analysis.txt,13,36,disaster,9013,210
31,14,63.02,3,21.4,17,34,384.13,hybrid_disaster_2nurses_analysis.txt,92.33,18,33,583.26,11,78.6,2,hybrid,disaster_2nurses_analysis.txt,15,36,disaster,9014,189
24,12,48.25,0,0.0,15,34,285.23,hybrid_disaster_2nurses_analysis.txt,71.0,19,30,438.07,12,100.0,2,hybrid,disaster_2nurses_analysis.txt,15,34,disaster,9015,138
30,11,60.36,3,27.3,15,32,386.87,hybrid_disaster_2nurses_analysis.txt,87.6,17,30,585.48,8,72.7,2,hybrid,disaster_2nurses_analysis.txt,15,32,disaster,9016,193
26,13,52.98,2,15.4,16,30,326.25,hybrid_disaster_2nurses_analysis.txt,77.59,17,29,496.74,11,84.6,2,hybrid,disaster_2nurses_analysis.txt,15,31,disaster,9017,158
26,9,52.46,0,0.0,14,22,313.26,hybrid_disaster_2nurses_analysis.txt,77.62,15,21,487.1,9,100.0,2,hybrid,disaster_2nurses_analysis.txt,13,23,disaster,9018,155
22,14,44.3,4,28.6,15,25,273.01,hybrid_disaster_2nurses_analysis.txt,65.14,16,24,422.86,10,71.4,2,hybrid,disaster_2nurses_analysis.txt,15,25,disaster,9019,134
22,13,44.8,0,0.0,16,35,254.18,hybrid_disaster_2nurses_analysis.txt,66.57,19,32,386.73,13,100.0,2,hybrid,disaster_2nurses_analysis.txt,16,35,disaster,9020,125
32,15,63.11,3,20.0,15,28,398.71,hybrid_disaster_2nurses_analysis.txt,93.28,16,27,606.83,12,80.0,2,hybrid,disaster_2nurses_analysis.txt,15,28,disaster,9021,199
36,10,73.14,4,40.0,12,34,454.2,hybrid_disaster_2nurses_analysis.txt,105.78,17,29,683.91,6,60.0,2,hybrid,disaster_2nurses_analysis.txt,13,33,disaster,9022,220
28,14,55.44,0,0.0,15,27,328.8,hybrid_disaster_2nurses_analysis.txt,81.22,18,24,507.34,14,100.0,2,hybrid,disaster_2nurses_analysis.txt,14,28,disaster,9023,162
37,15,75.79,7,46.7,14,36,451.33,hybrid_disaster_2nurses_analysis.txt,110.42,19,31,678.59,8,53.3,2,hybrid,disaster_2nurses_analysis.txt,16,34,disaster,9024,223
32,13,63.42,3,23.1,16,34,401.37,hybrid_disaster_2nurses_analysis.txt,92.94,18,32,609.29,10,76.9,2,hybrid,disaster_2nurses_analysis.txt,14,36,disaster,9025,200
25,12,49.08,2,16.7,13,36,311.46,hybrid_disaster_2nurses_analysis.txt,72.46,15,34,471.83,10,83.3,2,hybrid,disaster_2nurses_analysis.txt,12,37,disaster,9026,156
31,15,63.0,2,13.3,14,42,386.15,hybrid_disaster_2nurses_analysis.txt,92.34,18,38,583.29,13,86.7,2,hybrid,disaster_2nurses_analysis.txt,15,41,disaster,9027,189
30,15,60.88,0,0.0,15,33,355.77,hybrid_disaster_2nurses_analysis.txt,89.61,18,30,541.11,15,100.0,2,hybrid,disaster_2nurses_analysis.txt,15,33,disaster,9028,175
31,14,63.06,0,0.0,16,33,389.89,hybrid_disaster_2nurses_analysis.txt,92.15,18,31,589.29,14,100.0,2,hybrid,disaster_2nurses_analysis.txt,15,34,disaster,9029,189
29,12,58.11,0,0.0,14,37,356.14,hybrid_disaster_2nurses_analysis.txt,84.57,17,34,539.8,12,100.0,2,hybrid,disaster_2nurses_analysis.txt,13,38,disaster,9030,175
27,14,53.58,3,21.4,15,39,330.94,hybrid_disaster_2nurses_analysis.txt,78.67,18,36,502.92,11,78.6,2,hybrid,disaster_2nurses_analysis.txt,15,39,disaster,9031,165
24,13,47.55,1,7.7,16,28,282.31,hybrid_disaster_2nurses_analysis.txt,68.77,18,26,429.44,12,92.3,2,hybrid,disaster_2nurses_analysis.txt,15,29,disaster,9032,138
31,13,63.04,5,38.5,16,30,395.68,hybrid_disaster_2nurses_analysis.txt,92.65,19,27,600.34,8,61.5,2,hybrid,disaster_2nurses_analysis.txt,15,31,disaster,9033,195
29,15,57.32,5,33.3,16,28,361.5,hybrid_disaster_2nurses_analysis.txt,85.34,16,28,547.67,10,66.7,2,hybrid,disaster_2nurses_analysis.txt,15,29,disaster,9034,177
35,13,68.48,5,38.5,17,28,391.56,hybrid_disaster_2nurses_analysis.txt,99.71,19,26,595.52,8,61.5,2,hybrid,disaster_2nurses_analysis.txt,14,31,disaster,9035,196
31,11,62.86,0,0.0,16,39,368.15,hybrid_disaster_2nurses_analysis.txt,91.59,19,36,556.79,11,100.0,2,hybrid,disaster_2nurses_analysis.txt,14,41,disaster,9036,180
