timestep,hour,standard,peak_hours,weekend,disaster,flu_season,steady_state
1,0.00,0.443333,0.115833,0.485833,0.391667,0.329167,0.284167
2,0.25,0.476667,0.135833,0.487500,0.420000,0.350000,0.309167
3,0.50,0.491667,0.131667,0.506667,0.397500,0.361667,0.314167
4,0.75,0.490833,0.116667,0.482500,0.425833,0.344167,0.289167
5,1.00,0.469167,0.116667,0.469167,0.440833,0.352500,0.302500
6,1.25,0.497500,0.135833,0.474167,0.436667,0.334167,0.286667
7,1.50,0.504167,0.128333,0.486667,0.437500,0.354167,0.286667
8,1.75,0.553333,0.108333,0.517500,0.459167,0.360000,0.288333
9,2.00,0.540000,0.120000,0.491667,0.424167,0.334167,0.269167
10,2.25,0.540000,0.121667,0.496667,0.470833,0.322500,0.290000
11,2.50,0.549167,0.098333,0.483333,0.474167,0.330000,0.292500
12,2.75,0.573333,0.118333,0.533333,0.444167,0.340833,0.294167
13,3.00,0.583333,0.104167,0.522500,0.450833,0.365000,0.292500
14,3.25,0.548333,0.110833,0.471667,0.480833,0.343333,0.300000
15,3.50,0.555833,0.125833,0.468333,0.480000,0.353333,0.278333
16,3.75,0.572500,0.125833,0.484167,0.474167,0.354167,0.303333
17,4.00,0.557500,0.120833,0.169167,0.504167,0.345000,0.310833
18,4.25,0.592500,0.115000,0.178333,0.503333,0.350000,0.307500
19,4.50,0.580833,0.127500,0.183333,0.502500,0.335833,0.290000
20,4.75,0.596667,0.132500,0.189167,0.494167,0.344167,0.319167
21,5.00,0.602500,0.114167,0.200833,0.520000,0.338333,0.308333
22,5.25,0.597500,0.121667,0.197500,0.505833,0.364167,0.302500
23,5.50,0.600833,0.139167,0.187500,0.460000,0.361667,0.297500
24,5.75,0.584167,0.140000,0.173333,0.522500,0.323333,0.315833
25,6.00,0.614167,0.307500,0.190833,0.482500,0.423333,0.295000
26,6.25,0.630833,0.317500,0.190000,0.500833,0.423333,0.295000
